UserName,Name,Enabled,Must Change Password at Logon,Cannot Change Password,Password Never Expires,Reversible Password Encryption,Smartcard Logon Required,Delegation Permitted,Kerberos DES Only,Kerberos RC4,Kerberos AES-128bit,Kerberos AES-256bit,Does Not Require Pre Auth,Never Logged in,Logon Age (days),Password Age (days),Dormant (> 90 days),Password Age (> 180 days),Account Locked Out,Password Expired,Password Not Required,Delegation Type,Delegation Protocol,Delegation Services,Logon Workstations,AdminCount,Primary GroupID,SID,SIDHistory,HasSPN,Description,Title,Department,Company,Manager,Info,Last Logon Date,Password LastSet,Account Expiration Date,Account Expiration (days),Mobile,Email,HomeDirectory,ProfilePath,ScriptPath,UserAccountControl,First Name,Middle Name,Last Name,Country,whenCreated,whenChanged,DistinguishedName,CanonicalName
federica.dorella,Federica Dorella,True,False,False,False,False,False,True,False,Default,Default,Default,False,True,,751,False,True,False,False,False,,,,,,513,S-1-5-21-4178490863-1286169181-2994033663-1110,,False,Shared User,,,,,,,1/28/2024 11:11:13 PM,,,,,,,,512,Federica,,Dorella,,1/28/2024 11:11:03 PM,1/28/2024 11:11:13 PM,"CN=Federica Dorella,CN=Users,DC=vulnad,DC=local",vulnad.local/Users/Federica Dorella
rhodie.annamaria,Rhodie Annamaria,True,False,False,False,False,False,True,False,Default,Default,Default,False,True,,751,False,True,False,False,False,,,,,,513,S-1-5-21-4178490863-1286169181-2994033663-1111,,False,,,,,,,,1/28/2024 11:11:03 PM,,,,,,,,512,Rhodie,,Annamaria,,1/28/2024 11:11:03 PM,1/28/2024 11:11:03 PM,"CN=Rhodie Annamaria,CN=Users,DC=vulnad,DC=local",vulnad.local/Users/Rhodie Annamaria
kitti.erda,Kitti Erda,True,False,False,False,False,False,True,False,Default,Default,Default,False,True,,751,False,True,False,False,False,,,,,,513,S-1-5-21-4178490863-1286169181-2994033663-1112,,False,,,,,,,,1/28/2024 11:11:03 PM,,,,,,,,512,Kitti,,Erda,,1/28/2024 11:11:03 PM,1/28/2024 11:11:03 PM,"CN=Kitti Erda,CN=Users,DC=vulnad,DC=local",vulnad.local/Users/Kitti Erda
maure.lolita,Maure Lolita,True,False,False,False,False,False,True,False,Default,Default,Default,False,True,,751,False,True,False,False,False,,,,,,513,S-1-5-21-4178490863-1286169181-2994033663-1113,,False,,,,,,,,1/28/2024 11:11:03 PM,,,,,,,,512,Maure,,Lolita,,1/28/2024 11:11:03 PM,1/28/2024 11:11:04 PM,"CN=Maure Lolita,CN=Users,DC=vulnad,DC=local",vulnad.local/Users/Maure Lolita
jacinthe.karly,Jacinthe Karly,False,False,False,False,False,False,True,False,Default,Default,Default,False,False,245,119,True,False,False,False,False,,,,,,513,S-1-5-21-4178490863-1286169181-2994033663-1114,,False,Password resetted to Unicorn62,,,,,,6/18/2025 12:01:08 PM,10/22/2025 7:56:57 AM,,,,,,,,514,Jacinthe,,Karly,,1/28/2024 11:11:04 PM,10/22/2025 7:56:57 AM,"CN=Jacinthe Karly,CN=Users,DC=vulnad,DC=local",vulnad.local/Users/Jacinthe Karly
odelinda.rosalinda,Odelinda Rosalinda,True,False,False,False,False,False,True,False,Default,Default,Default,False,True,,751,False,True,False,False,False,,,,,,513,S-1-5-21-4178490863-1286169181-2994033663-1115,,False,,,,,,,,1/28/2024 11:11:04 PM,,,,,,,,512,Odelinda,,Rosalinda,,1/28/2024 11:11:04 PM,1/28/2024 11:11:04 PM,"CN=Odelinda Rosalinda,CN=Users,DC=vulnad,DC=local",vulnad.local/Users/Odelinda Rosalinda
kippy.hildagard,Kippy Hildagard,True,False,False,False,False,False,True,False,Default,Default,Default,False,True,,751,False,True,False,False,False,,,,,,513,S-1-5-21-4178490863-1286169181-2994033663-1116,,False,,,,,,,,1/28/2024 11:11:04 PM,,,,,,,,512,Kippy,,Hildagard,,1/28/2024 11:11:04 PM,1/28/2024 11:11:04 PM,"CN=Kippy Hildagard,CN=Users,DC=vulnad,DC=local",vulnad.local/Users/Kippy Hildagard
hildy.shea,Hildy Shea,True,False,False,False,False,False,True,False,Default,Default,Default,False,True,,751,False,True,False,False,False,,,,,,513,S-1-5-21-4178490863-1286169181-2994033663-1117,,False,,,,,,,,1/28/2024 11:11:04 PM,,,,,,,,512,Hildy,,Shea,,1/28/2024 11:11:04 PM,1/28/2024 11:11:04 PM,"CN=Hildy Shea,CN=Users,DC=vulnad,DC=local",vulnad.local/Users/Hildy Shea
nickie.nerti,Nickie Nerti,True,False,False,False,False,False,True,False,Default,Default,Default,False,True,,751,False,True,False,False,False,,,,,,513,S-1-5-21-4178490863-1286169181-2994033663-1118,,False,,,,,,,,1/28/2024 11:11:04 PM,,,,,,,,512,Nickie,,Nerti,,1/28/2024 11:11:04 PM,1/28/2024 11:11:04 PM,"CN=Nickie Nerti,CN=Users,DC=vulnad,DC=local",vulnad.local/Users/Nickie Nerti
lurlene.roberta,Lurlene Roberta,True,False,False,False,False,False,True,False,Default,Default,Default,False,True,,751,False,True,False,False,False,,,,,,513,S-1-5-21-4178490863-1286169181-2994033663-1119,,False,,,,,,,,1/28/2024 11:11:04 PM,,,,,,,,512,Lurlene,,Roberta,,1/28/2024 11:11:04 PM,1/28/2024 11:11:04 PM,"CN=Lurlene Roberta,CN=Users,DC=vulnad,DC=local",vulnad.local/Users/Lurlene Roberta
lauryn.devora,Lauryn Devora,True,False,False,False,False,False,True,False,Default,Default,Default,False,True,,751,False,True,False,False,False,,,,,,513,S-1-5-21-4178490863-1286169181-2994033663-1120,,False,,,,,,,,1/28/2024 11:11:04 PM,,,,,,,,512,Lauryn,,Devora,,1/28/2024 11:11:04 PM,1/28/2024 11:11:04 PM,"CN=Lauryn Devora,CN=Users,DC=vulnad,DC=local",vulnad.local/Users/Lauryn Devora
eden.lari,Eden Lari,True,False,False,False,False,False,True,False,Default,Default,Default,False,True,,751,False,True,False,False,False,,,,,,513,S-1-5-21-4178490863-1286169181-2994033663-1121,,False,,,,,,,,1/28/2024 11:11:04 PM,,,,,,,,512,Eden,,Lari,,1/28/2024 11:11:04 PM,1/28/2024 11:11:05 PM,"CN=Eden Lari,CN=Users,DC=vulnad,DC=local",vulnad.local/Users/Eden Lari
olva.allys,Olva Allys,True,False,False,False,False,False,True,False,Default,Default,Default,False,True,,751,False,True,False,False,False,,,,,,513,S-1-5-21-4178490863-1286169181-2994033663-1122,,False,,,,,,,,1/28/2024 11:11:05 PM,,,,,,,,512,Olva,,Allys,,1/28/2024 11:11:05 PM,1/28/2024 11:11:05 PM,"CN=Olva Allys,CN=Users,DC=vulnad,DC=local",vulnad.local/Users/Olva Allys
mil.beryl,Mil Beryl,True,False,False,False,False,False,True,False,Default,Default,Default,False,True,,751,False,True,False,False,False,,,,,,513,S-1-5-21-4178490863-1286169181-2994033663-1123,,False,,,,,,,,1/28/2024 11:11:05 PM,,,,,,,,512,Mil,,Beryl,,1/28/2024 11:11:05 PM,1/28/2024 11:11:05 PM,"CN=Mil Beryl,CN=Users,DC=vulnad,DC=local",vulnad.local/Users/Mil Beryl
phyllys.glen,Phyllys Glen,True,False,False,False,False,False,True,False,Default,Default,Default,False,True,,751,False,True,False,False,False,,,,,,513,S-1-5-21-4178490863-1286169181-2994033663-1124,,False,,,,,,,,1/28/2024 11:11:05 PM,,,,,,,,512,Phyllys,,Glen,,1/28/2024 11:11:05 PM,1/28/2024 11:11:05 PM,"CN=Phyllys Glen,CN=Users,DC=vulnad,DC=local",vulnad.local/Users/Phyllys Glen
robbin.claretta,Robbin Claretta,True,False,False,True,False,False,True,False,Default,Default,Default,False,False,246,677,True,True,False,False,False,,,,,,513,S-1-5-21-4178490863-1286169181-2994033663-1125,,False,User Password 9L?iz_%sN|G!,,,,,,6/17/2025 2:45:18 PM,4/12/2024 9:41:51 AM,,,,,,,,66048,Robbin,,Claretta,,1/28/2024 11:11:05 PM,6/18/2025 3:13:03 PM,"CN=Robbin Claretta,CN=Users,DC=vulnad,DC=local",vulnad.local/Users/Robbin Claretta
bree.hanny,Bree Hanny,True,False,False,False,False,False,True,False,Default,Default,Default,False,True,,751,False,True,False,False,False,,,,,,513,S-1-5-21-4178490863-1286169181-2994033663-1126,,False,,,,,,,,1/28/2024 11:11:05 PM,,,,,,,,512,Bree,,Hanny,,1/28/2024 11:11:05 PM,1/28/2024 11:11:05 PM,"CN=Bree Hanny,CN=Users,DC=vulnad,DC=local",vulnad.local/Users/Bree Hanny
dredi.inge,Dredi Inge,True,False,False,False,False,False,True,False,Default,Default,Default,False,True,,751,False,True,False,False,False,,,,,,513,S-1-5-21-4178490863-1286169181-2994033663-1127,,False,,,,,,,,1/28/2024 11:11:05 PM,,,,,,,,512,Dredi,,Inge,,1/28/2024 11:11:05 PM,1/28/2024 11:11:05 PM,"CN=Dredi Inge,CN=Users,DC=vulnad,DC=local",vulnad.local/Users/Dredi Inge
petronia.janean,Petronia Janean,True,False,False,False,False,False,True,False,Default,Default,Default,False,True,,751,False,True,False,False,False,,,,,,513,S-1-5-21-4178490863-1286169181-2994033663-1128,,False,,,,,,,,1/28/2024 11:11:05 PM,,,,,,,,512,Petronia,,Janean,,1/28/2024 11:11:05 PM,1/28/2024 11:11:05 PM,"CN=Petronia Janean,CN=Users,DC=vulnad,DC=local",vulnad.local/Users/Petronia Janean
celestyn.marie-ann,Celestyn Marie-Ann,True,False,False,False,False,False,True,False,Default,Default,Default,False,True,,751,False,True,False,False,False,,,,,,513,S-1-5-21-4178490863-1286169181-2994033663-1129,,False,,,,,,,,1/28/2024 11:11:05 PM,,,,,,,,512,Celestyn,,Marie-Ann,,1/28/2024 11:11:05 PM,1/28/2024 11:11:05 PM,"CN=Celestyn Marie-Ann,CN=Users,DC=vulnad,DC=local",vulnad.local/Users/Celestyn Marie-Ann
maurine.francoise,Maurine Francoise,True,False,False,False,False,False,True,False,Default,Default,Default,False,True,,751,False,True,False,False,False,,,,,,513,S-1-5-21-4178490863-1286169181-2994033663-1130,,False,,,,,,,,1/28/2024 11:11:06 PM,,,,,,,,512,Maurine,,Francoise,,1/28/2024 11:11:06 PM,1/28/2024 11:11:06 PM,"CN=Maurine Francoise,CN=Users,DC=vulnad,DC=local",vulnad.local/Users/Maurine Francoise
andree.cyndi,Andree Cyndi,True,False,False,False,False,False,True,False,Default,Default,Default,False,True,,751,False,True,False,False,False,,,,,,513,S-1-5-21-4178490863-1286169181-2994033663-1131,,False,,,,,,,,1/28/2024 11:11:06 PM,,,,,,,,512,Andree,,Cyndi,,1/28/2024 11:11:06 PM,1/28/2024 11:11:06 PM,"CN=Andree Cyndi,CN=Users,DC=vulnad,DC=local",vulnad.local/Users/Andree Cyndi
idaline.norene,Idaline Norene,True,False,False,False,False,False,True,False,Default,Default,Default,False,True,,751,False,True,False,False,False,,,,,,513,S-1-5-21-4178490863-1286169181-2994033663-1132,,False,,,,,,,,1/28/2024 11:11:06 PM,,,,,,,,512,Idaline,,Norene,,1/28/2024 11:11:06 PM,1/28/2024 11:11:06 PM,"CN=Idaline Norene,CN=Users,DC=vulnad,DC=local",vulnad.local/Users/Idaline Norene
helsa.bryna,Helsa Bryna,True,False,False,False,False,False,True,False,Default,Default,Default,False,True,,751,False,True,False,False,False,,,,,,513,S-1-5-21-4178490863-1286169181-2994033663-1133,,False,,,,,,,,1/28/2024 11:11:06 PM,,,,,,,,512,Helsa,,Bryna,,1/28/2024 11:11:06 PM,1/28/2024 11:11:06 PM,"CN=Helsa Bryna,CN=Users,DC=vulnad,DC=local",vulnad.local/Users/Helsa Bryna
sheeree.brinn,Sheeree Brinn,True,False,False,False,False,False,True,False,Default,Default,Default,False,True,,751,False,True,False,False,False,,,,,,513,S-1-5-21-4178490863-1286169181-2994033663-1134,,False,,,,,,,,1/28/2024 11:11:06 PM,,,,,,,,512,Sheeree,,Brinn,,1/28/2024 11:11:06 PM,1/28/2024 11:11:06 PM,"CN=Sheeree Brinn,CN=Users,DC=vulnad,DC=local",vulnad.local/Users/Sheeree Brinn
melisa.shel,Melisa Shel,True,False,False,False,False,False,True,False,Default,Default,Default,False,True,,751,False,True,False,False,False,,,,,,513,S-1-5-21-4178490863-1286169181-2994033663-1135,,False,,,,,,,,1/28/2024 11:11:06 PM,,,,,,,,512,Melisa,,Shel,,1/28/2024 11:11:06 PM,1/28/2024 11:11:06 PM,"CN=Melisa Shel,CN=Users,DC=vulnad,DC=local",vulnad.local/Users/Melisa Shel
gretna.kerwin,Gretna Kerwin,True,False,False,False,False,False,True,False,Default,Default,Default,False,True,,751,False,True,False,False,False,,,,,,513,S-1-5-21-4178490863-1286169181-2994033663-1136,,False,,,,,,,,1/28/2024 11:11:06 PM,,,,,,,,512,Gretna,,Kerwin,,1/28/2024 11:11:06 PM,1/28/2024 11:11:06 PM,"CN=Gretna Kerwin,CN=Users,DC=vulnad,DC=local",vulnad.local/Users/Gretna Kerwin
julianne.ettie,Julianne Ettie,True,False,False,False,False,False,True,False,Default,Default,Default,False,True,,751,False,True,False,False,False,,,,,,513,S-1-5-21-4178490863-1286169181-2994033663-1137,,False,,,,,,,,1/28/2024 11:11:06 PM,,,,,,,,512,Julianne,,Ettie,,1/28/2024 11:11:06 PM,1/28/2024 11:11:06 PM,"CN=Julianne Ettie,CN=Users,DC=vulnad,DC=local",vulnad.local/Users/Julianne Ettie
natala.constancia,Natala Constancia,True,False,False,False,False,False,True,False,Default,Default,Default,False,True,,751,False,True,False,False,False,,,,,,513,S-1-5-21-4178490863-1286169181-2994033663-1138,,False,,,,,,,,1/28/2024 11:11:06 PM,,,,,,,,512,Natala,,Constancia,,1/28/2024 11:11:06 PM,1/28/2024 11:11:07 PM,"CN=Natala Constancia,CN=Users,DC=vulnad,DC=local",vulnad.local/Users/Natala Constancia
kerianne.clarey,Kerianne Clarey,True,False,False,False,False,False,True,False,Default,Default,Default,False,False,245,245,True,True,False,False,False,,,,,,513,S-1-5-21-4178490863-1286169181-2994033663-1139,,False,New user with default password,,,,,,6/18/2025 12:02:30 PM,6/18/2025 12:02:22 PM,,,,,,,,512,Kerianne,,Clarey,,1/28/2024 11:11:07 PM,6/18/2025 12:02:30 PM,"CN=Kerianne Clarey,CN=Users,DC=vulnad,DC=local",vulnad.local/Users/Kerianne Clarey
rubi.darbie,Rubi Darbie,True,False,False,False,False,False,True,False,Default,Default,Default,False,True,,751,False,True,False,False,False,,,,,,513,S-1-5-21-4178490863-1286169181-2994033663-1140,,False,,,,,,,,1/28/2024 11:11:07 PM,,,,,,,,512,Rubi,,Darbie,,1/28/2024 11:11:07 PM,1/28/2024 11:11:07 PM,"CN=Rubi Darbie,CN=Users,DC=vulnad,DC=local",vulnad.local/Users/Rubi Darbie
jeannette.orelle,Jeannette Orelle,True,False,False,False,False,False,True,False,Default,Default,Default,False,True,,751,False,True,False,False,False,,,,,,513,S-1-5-21-4178490863-1286169181-2994033663-1141,,False,Shared User,,,,,,,1/28/2024 11:11:13 PM,,,,,,,,512,Jeannette,,Orelle,,1/28/2024 11:11:07 PM,1/28/2024 11:11:13 PM,"CN=Jeannette Orelle,CN=Users,DC=vulnad,DC=local",vulnad.local/Users/Jeannette Orelle
emyle.janifer,Emyle Janifer,True,False,False,False,False,False,True,False,Default,Default,Default,False,True,,751,False,True,False,False,False,,,,,,513,S-1-5-21-4178490863-1286169181-2994033663-1142,,False,,,,,,,,1/28/2024 11:11:07 PM,,,,,,,,512,Emyle,,Janifer,,1/28/2024 11:11:07 PM,1/28/2024 11:11:07 PM,"CN=Emyle Janifer,CN=Users,DC=vulnad,DC=local",vulnad.local/Users/Emyle Janifer
fredia.prue,Fredia Prue,True,False,False,False,False,False,True,False,Default,Default,Default,False,True,,751,False,True,False,False,False,,,,,,513,S-1-5-21-4178490863-1286169181-2994033663-1143,,False,,,,,,,,1/28/2024 11:11:07 PM,,,,,,,,512,Fredia,,Prue,,1/28/2024 11:11:07 PM,1/28/2024 11:11:07 PM,"CN=Fredia Prue,CN=Users,DC=vulnad,DC=local",vulnad.local/Users/Fredia Prue
larina.blinni,Larina Blinni,True,False,False,False,False,False,True,False,Default,Default,Default,False,True,,751,False,True,False,False,False,,,,,,513,S-1-5-21-4178490863-1286169181-2994033663-1144,,False,,,,,,,,1/28/2024 11:11:07 PM,,,,,,,,512,Larina,,Blinni,,1/28/2024 11:11:07 PM,1/28/2024 11:11:07 PM,"CN=Larina Blinni,CN=Users,DC=vulnad,DC=local",vulnad.local/Users/Larina Blinni
maryellen.alyda,Maryellen Alyda,True,False,False,False,False,False,True,False,Default,Default,Default,False,True,,751,False,True,False,False,False,,,,,,513,S-1-5-21-4178490863-1286169181-2994033663-1145,,False,,,,,,,,1/28/2024 11:11:07 PM,,,,,,,,512,Maryellen,,Alyda,,1/28/2024 11:11:07 PM,1/28/2024 11:11:07 PM,"CN=Maryellen Alyda,CN=Users,DC=vulnad,DC=local",vulnad.local/Users/Maryellen Alyda
gus.audre,Gus Audre,True,False,False,False,False,False,True,False,Default,Default,Default,False,True,,751,False,True,False,False,False,,,,,,513,S-1-5-21-4178490863-1286169181-2994033663-1146,,False,,,,,,,,1/28/2024 11:11:07 PM,,,,,,,,512,Gus,,Audre,,1/28/2024 11:11:07 PM,1/28/2024 11:11:07 PM,"CN=Gus Audre,CN=Users,DC=vulnad,DC=local",vulnad.local/Users/Gus Audre
kristine.brigitte,Kristine Brigitte,True,False,False,False,False,False,True,False,Default,Default,Default,False,True,,751,False,True,False,False,False,,,,,,513,S-1-5-21-4178490863-1286169181-2994033663-1147,,False,,,,,,,,1/28/2024 11:11:08 PM,,,,,,,,512,Kristine,,Brigitte,,1/28/2024 11:11:08 PM,1/28/2024 11:11:08 PM,"CN=Kristine Brigitte,CN=Users,DC=vulnad,DC=local",vulnad.local/Users/Kristine Brigitte
bari.dollie,Bari Dollie,True,False,False,False,False,False,True,False,Default,Default,Default,False,True,,751,False,True,False,False,False,,,,,,513,S-1-5-21-4178490863-1286169181-2994033663-1148,,False,,,,,,,,1/28/2024 11:11:08 PM,,,,,,,,512,Bari,,Dollie,,1/28/2024 11:11:08 PM,1/28/2024 11:11:08 PM,"CN=Bari Dollie,CN=Users,DC=vulnad,DC=local",vulnad.local/Users/Bari Dollie
kimble.ilyse,Kimble Ilyse,True,False,False,False,False,False,True,False,Default,Default,Default,False,True,,751,False,True,False,False,False,,,,,,513,S-1-5-21-4178490863-1286169181-2994033663-1149,,False,Shared User,,,,,,,1/28/2024 11:11:13 PM,,,,,,,,512,Kimble,,Ilyse,,1/28/2024 11:11:08 PM,1/28/2024 11:11:13 PM,"CN=Kimble Ilyse,CN=Users,DC=vulnad,DC=local",vulnad.local/Users/Kimble Ilyse
jeni.keri,Jeni Keri,True,False,False,False,False,False,True,False,Default,Default,Default,False,True,,751,False,True,False,False,False,,,,,,513,S-1-5-21-4178490863-1286169181-2994033663-1150,,False,,,,,,,,1/28/2024 11:11:08 PM,,,,,,,,512,Jeni,,Keri,,1/28/2024 11:11:08 PM,1/28/2024 11:11:08 PM,"CN=Jeni Keri,CN=Users,DC=vulnad,DC=local",vulnad.local/Users/Jeni Keri
rosie.elenore,Rosie Elenore,True,False,False,False,False,False,True,False,Default,Default,Default,False,True,,751,False,True,False,False,False,,,,,,513,S-1-5-21-4178490863-1286169181-2994033663-1151,,False,,,,,,,,1/28/2024 11:11:08 PM,,,,,,,,512,Rosie,,Elenore,,1/28/2024 11:11:08 PM,1/28/2024 11:11:08 PM,"CN=Rosie Elenore,CN=Users,DC=vulnad,DC=local",vulnad.local/Users/Rosie Elenore
rae.shari,Rae Shari,True,False,False,False,False,False,True,False,Default,Default,Default,False,True,,751,False,True,False,False,False,,,,,,513,S-1-5-21-4178490863-1286169181-2994033663-1152,,False,,,,,,,,1/28/2024 11:11:08 PM,,,,,,,,512,Rae,,Shari,,1/28/2024 11:11:08 PM,1/28/2024 11:11:08 PM,"CN=Rae Shari,CN=Users,DC=vulnad,DC=local",vulnad.local/Users/Rae Shari
lanita.kizzie,Lanita Kizzie,True,False,False,False,False,False,True,False,Default,Default,Default,False,True,,751,False,True,False,False,False,,,,,,513,S-1-5-21-4178490863-1286169181-2994033663-1153,,False,,,,,,,,1/28/2024 11:11:08 PM,,,,,,,,512,Lanita,,Kizzie,,1/28/2024 11:11:08 PM,1/28/2024 11:11:08 PM,"CN=Lanita Kizzie,CN=Users,DC=vulnad,DC=local",vulnad.local/Users/Lanita Kizzie
marni.loreen,Marni Loreen,True,False,False,False,False,False,True,False,Default,Default,Default,False,True,,751,False,True,False,False,False,,,,,,513,S-1-5-21-4178490863-1286169181-2994033663-1154,,False,,,,,,,,1/28/2024 11:11:08 PM,,,,,,,,512,Marni,,Loreen,,1/28/2024 11:11:08 PM,1/28/2024 11:11:08 PM,"CN=Marni Loreen,CN=Users,DC=vulnad,DC=local",vulnad.local/Users/Marni Loreen
carissa.lexis,Carissa Lexis,True,False,False,False,False,False,True,False,Default,Default,Default,False,True,,751,False,True,False,False,False,,,,,,513,S-1-5-21-4178490863-1286169181-2994033663-1155,,False,,,,,,,,1/28/2024 11:11:09 PM,,,,,,,,512,Carissa,,Lexis,,1/28/2024 11:11:08 PM,1/28/2024 11:11:09 PM,"CN=Carissa Lexis,CN=Users,DC=vulnad,DC=local",vulnad.local/Users/Carissa Lexis
lorne.nona,Lorne Nona,True,False,False,False,False,False,True,False,Default,Default,Default,False,False,245,245,True,True,False,False,False,,,,,,513,S-1-5-21-4178490863-1286169181-2994033663-1156,,False,New user with default password,,,,,,6/18/2025 12:02:11 PM,6/18/2025 12:02:01 PM,,,,,,,,512,Lorne,,Nona,,1/28/2024 11:11:09 PM,6/18/2025 12:02:11 PM,"CN=Lorne Nona,CN=Users,DC=vulnad,DC=local",vulnad.local/Users/Lorne Nona
lois.bernete,Lois Bernete,True,False,False,False,False,False,True,False,Default,Default,Default,False,True,,751,False,True,False,False,False,,,,,,513,S-1-5-21-4178490863-1286169181-2994033663-1157,,False,,,,,,,,1/28/2024 11:11:09 PM,,,,,,,,512,Lois,,Bernete,,1/28/2024 11:11:09 PM,1/28/2024 11:11:09 PM,"CN=Lois Bernete,CN=Users,DC=vulnad,DC=local",vulnad.local/Users/Lois Bernete
lrvt,Laurent Vetter,True,False,False,True,False,False,True,False,Default,Default,Default,True,False,9,694,False,True,False,False,False,,,,,,513,S-1-5-21-4178490863-1286169181-2994033663-1169,,False,New user; password is P@ssw0rd,,,,,,2/9/2026 8:46:07 AM,3/26/2024 8:06:59 AM,,,,,,,,4260352,LR,,VT,,2/13/2024 4:33:18 AM,2/9/2026 8:46:07 AM,"CN=Laurent Vetter,CN=Users,DC=vulnad,DC=local",vulnad.local/Users/Laurent Vetter
